,产品标题,一级类目,二级类目,三级类目,Unnamed: 4,注：①一级类目系统可匹配，分为“服装”或“美妆”，服装类目数据对我们有研究意义                        ②“三级类目”为搜索产品标题关键字得到，可直接作为抓取分类依据,二级品类结果
1455,LHQ2018新款大码小西装背心连衣裙女装两件套装遮肚子礼服裙潮,女装,连衣裙,连衣裙,,,连衣裙
1456,LHQ2018新款套头休闲运动服套装女学生时尚韩版卫衣跑步两件套,女装,套装,套装,,,套装
1457,LHQ2018新款条纹毛衣韩版大码宽松加厚中长款针织女开衫外套上衣,女装,上衣,开衫,,,上衣
1458,LHQ2018新款牛仔裤女高腰显瘦小脚裤子外穿长裤九分裤g203,女装,裤子,小脚裤,,,裤子
1459,LHQ2018春秋新款港风中长款风衣女百搭上衣秋装气质风衣外套大衣潮N【3.8】,女装,外套,风衣,,,外套
1460,LHQ2018秋冬新款上衣半高领撞色针织衫蝙蝠袖打底毛衣,女装,上衣,针织衫,,,上衣
1461,LHQ2018高腰短裤女春夏西装宽松显瘦百搭雪纺阔腿裤,女装,裤子,阔腿裤,,,裤子
1462,LHQ休闲套装女2018新款两件套女装时髦韩版学生卫衣运动服春秋潮,女装,套装,套装,,,套装
1463,LHQ低领蕾丝打底衫女长袖内搭加绒上衣2018新款保暖大码秋季碎花小衫,女装,上衣,打底衫,,,上衣
1464,LHQ减龄胖mm遮肚子连衣裙洋气夏装大码女装2018新款藏肉胖妹妹200斤,女装,连衣裙,连衣裙,,,连衣裙
1465,LHQ半高领格子针织连衣裙2018秋装新款长袖宽松大码打底毛衣裙,女装,连衣裙,连衣裙,,,其它
1466,LHQ复古流苏提花绒大翻领针织开衫女披肩外套大码中长款披风外搭,女装,上衣,开衫,,,外套
1467,LHQ夏季新款民族风棉麻大码女装宽松印花短袖上衣阔腿裤套装,女装,裤子,阔腿裤,,,上衣
1468,LHQ大码胖mm2018新款连衣裙胖妹妹200斤宽松遮肚子减龄a字裙,女装,连衣裙,连衣裙,,,连衣裙
1469,LHQ小香风时尚两件套连衣裙女2018新款韩版气质淑女显瘦套装裙子,女装,连衣裙,连衣裙,,,套装
1470,LHQ新款单双肩包女式背包日韩版女士女包学生学院书包,女装,包包,背包,,,包包
1471,LHQ时尚休闲套装女2018夏季新款韩版大码刺绣圆领t恤七分裤两件套潮,女装,上衣,T恤,,,套装
1472,LHQ秋冬款韩版针织衫毛衣女宽松显瘦中长款针织打底衫时尚拼色针织衫,女装,上衣,打底衫,,,上衣
1473,LHQ纯色长袖修身显瘦个性简约百搭POLO领中长款2018年韩版潮流风衣,女装,外套,风衣,,,其它
1474,LHQ连衣裙两件套2018韩版收腰修身长袖格子套装女,女装,连衣裙,连衣裙,,,其它
1475,LHQ连衣裙女装2018新款韩范气质收腰显瘦套装长袖中长款a字裙潮,女装,连衣裙,连衣裙,,,其它
1476,LHQ针织衫女开衫中长款2018春秋新款韩版宽松大码毛衣外套长袖外搭潮h357,女装,上衣,开衫,,,上衣
1477,LHQ长袖连衣裙女2018秋季新款时尚假两件简约优雅气质修身百搭裙,女装,连衣裙,连衣裙,,,其它
1478,LHQ阔腿裤套装女九分宽松大码复古棉麻t恤女长袖上衣两件套,女装,裤子,阔腿裤,,,套装
1479,LHQ雪纺套装两件套2018夏季新款女装休闲印花上衣+短裤两件套,女装,裤子,短裤,,,套装
1480,LHY2018新款天鹅绒休闲运动时尚套装春秋季女韩版长袖两件套,女装,套装,套装,,,套装
1481,LHY秋天季2018薄新款韩版上衣连帽小清新休闲牛仔短外套女宽松百搭,女装,外套,外套,,,外套
1482,LHY秋天季2018薄新款韩版上衣连帽小清新休闲牛仔短外套女宽松百搭h242,女装,外套,外套,,,外套
1483,LSL夏装凉快透气小衫 短袖t恤女 条纹宽松休闲刺绣中长款上衣,女装,上衣,T恤,,,上衣
1484,LSL开衫外搭女中长款冰丝薄披肩外套过膝2018新款防晒衣披风,女装,上衣,开衫,,,日用
1485,LWJ套装2018年夏季时尚显瘦修身潮流简约个性百搭N[7.11],女装,套装,套装,,,其它
1486,pln2018新款 欧美女装 收腰显瘦 七分袖网纱拼接绣花连衣裙女,女装,连衣裙,连衣裙,,,连衣裙
1487,PLN2018春装新款高腰中国风连衣裙中长裙子女夏,女装,连衣裙,连衣裙,,,连衣裙
1488,PLN七分袖花色雪纺衬衫连衣裙2018新品中长款春秋衬衣,女装,连衣裙,连衣裙,,,上衣
1489,PLN实拍2018新款韩版宽松大码棉麻女装长袖提花娃娃衫上衣,女装,上衣,上衣,,,上衣
1490,pu皮短裤女秋冬2018秋季新款韩版修身皮裤子显瘦高腰靴裤皮裤,女装,裤子,短裤,,,裤子
1491,RYN 长裙女夏2018新款雪纺一片式中长款碎花海边度假沙滩裹裙半身裙子HZ5721,女装,裙子,半身裙,,,裙子
1492,RYN【上衣下装单品出售】2018年夏季简约时尚街头潮流百搭气质都市甜美可爱宽松显瘦防晒N[5.24]（Z）,女装,上衣,上衣,,,上衣
1493,RYN七分袖衬衫V领修身条纹棉单排多扣2018年时尚潮流N[3.19]（Z）,女装,上衣,衬衫,,,其它
1494,RYN气质时尚百搭优雅翻领印花显廋中长款春秋款显廋两件套N[9.7],女装,套装,两件套,,,套装
1495,SLN套装女装2018年秋季花色休闲舒适时尚潮流个性N[9.14],女装,套装,套装,,,套装
1496,SLN女包2017新款包女士欧美单肩斜挎包PU手提包,女装,包包,手提包,,,包包
1497,SXL2018女装欧美新款韩版修身显瘦气质大码长袖时尚条纹阔腿裤百搭套装女,女装,裤子,阔腿裤,,,其它
1498,SXL2018秋季新款针织毛衣女长款连衣裙过膝包臀百搭修身针织长裙打底裙d132,女装,连衣裙,连衣裙,,,连衣裙
1499,SXL2018秋季新款高腰龙凤呢阔腿裤秋冬直筒毛呢裤子女宽松显瘦,女装,裤子,阔腿裤,,,裤子
1500,SXL【送胸针】玫瑰花外套女仿貂毛开衫毛衣女2018秋新款针织毛衫韩版时尚披肩潮,女装,上衣,开衫,,,上衣
1501,SXL优质新款中长款毛衣外套女秋冬季新款女装韩版宽松纯色上衣针织衫开衫外套,女装,上衣,开衫,,,上衣
1502,SXL优质新款中长款毛衣外套女秋冬季新款女装韩版宽松纯色上衣针织衫开衫外套g568,女装,上衣,开衫,,,上衣
1503,SXL实拍秋款不规则碎花拼接撞色盘扣民族风长袖棉麻套装两件套,女装,套装,套装,,,套装
1504,SXL春装2018新款时尚套装休闲牛仔两件套不规则衬衫阔腿裤气质潮,女装,裤子,阔腿裤,,,套装
1505,SXL牛仔裤女2018新款休闲裤子喇叭裤直筒中腰微喇裤女长裤,女装,裤子,牛仔裤,,,裤子
1506,t恤女长袖高领打底衫秋装2018新款韩版百搭上衣秋冬洋气小衫衣服【DB】,女装,上衣,打底衫,,,上衣
1507,t恤女长袖高领打底衫秋装2018新款韩版百搭上衣秋冬洋气小衫衣服【DB】f863,女装,上衣,打底衫,,,上衣
1508,V领中厚性感蕾丝保暖内衣美体秋衣秋裤套装女棉毛衫塑身无痕新款,女装,日用,保暖内衣,,,套装
1509,V领打底衫女长袖2018新款小衫修身显瘦收腰性感网纱蕾丝上衣,女装,上衣,打底衫,,,上衣
1510,V领睫毛蕾丝长袖金丝绒打底衫2018秋装新款女时尚上衣t恤女,女装,上衣,打底衫,,,上衣
1511,V领长袖套头针织衫女2019新款上衣韩版宽松毛衣打底衫女【DB】f432,女装,上衣,打底衫,,,上衣
1512,V领长袖套头针织衫女2019新款上衣韩版宽松毛衣打底衫女【DB】h683,女装,上衣,打底衫,,,上衣
1513,WHD 2018新款 欧美长袖宽松针织连衣裙中长款拼接印花打底毛衣裙g169,女装,连衣裙,连衣裙,,,其它
1514,WHD运动套装新款女金丝绒套装时尚卫衣女韩版两件套刺绣女套,女装,套装,套装,,,套装
1515,WHD雪纺衫2018年夏季短袖套头圆领时尚修身百搭N[7.10],女装,上衣,雪纺衫,,,上衣
1516,WXC 2018新款女装重工刺绣韩版修身显瘦A字大摆连衣裙,女装,连衣裙,连衣裙,,,连衣裙
1517,WXC 2018新款洋气减龄显瘦两件套卫衣套装加大码遮肚子肉显瘦两件套套装,女装,套装,套装,,,套装
1518,WXF连衣裙大花雪纺圆领高腰套头2018年夏季大摆型长裙无袖印花褶皱X型N[3.29],女装,连衣裙,连衣裙,,,连衣裙
1519,YLQ 2018冬季新款女装加绒加厚长袖polo衫小清新时尚上衣打底保暖衬衫 N[9.27],女装,上衣,衬衫,,,上衣
1520,YLQ 【旅游特价】裙子修身无袖雪纺连衣裙波西米亚长裙海边度假沙滩裙N[7.19],女装,连衣裙,连衣裙,,,裙子
1521,YLQ上衣短裤防晒两件套大码女装春夏新款微胖mm两件套宽松显瘦N[4.21],女装,裤子,短裤,,,套装
1522,YLQ光胶漆皮单肩新娘包2018新款女包欧美风范亮面手提包N[7.31] SLYFPJ-2,女装,包包,手提包,,,包包
1523,YLQ斜跨单肩包 2018新款pu时尚潮流女包 欧美手提包,女装,包包,单肩包,,,包包
1524,YLQ触屏蕾丝手套2018防晒手套女夏防紫外线薄款手套女士N[5.16],女装,日用,手套,,,日用
1525,YSN 白玉菩提根女款佛珠手串原子108念珠A货绿菩提根莲花菩提手链 N[8.11],女装,配饰,手链,,,配饰
1526,YSN2018春夏新款欧美大码女装宽松显瘦印花仿真丝雪纺连衣裙女N[3.15],女装,连衣裙,连衣裙,,,连衣裙
1527,YZ 2018碎花连衣裙女装新款收腰长袖新款立领宽松纯棉长裙 N[9.4],女装,连衣裙,连衣裙,,,其它
1528,YZZ2018夏季新款低帮鞋女鞋2018年春秋季套脚橡胶胶粘鞋PU纯色圆头韩版N[5.14],女装,鞋,鞋,,,鞋
1529,YZZ纯色潮流气质街头韩版百搭宽松休闲时尚显瘦修身2018年夏季蕾丝衫/雪纺衫N[4.18],女装,上衣,雪纺衫,,,上衣
1530,YZZ雪纺阔腿裤女夏2018新款不规则休闲裤百搭高腰显瘦薄款七分裤N【5.24】,女装,裤子,阔腿裤,,,裤子
1531,YZ小外套女秋2018新款韩版bf棒球服短款双面穿连帽夹克秋季上衣潮N[9.17]BMDF-2,女装,外套,外套,,,外套
1532,YZ衬衫2018新款绣花立领条纹短袖宽松显瘦中长款N[5.26],女装,上衣,衬衫,,,上衣
1533,YZ衬衫单品纯色方领2018年夏季七分袖时尚修身显瘦气质N[7.12],女装,上衣,衬衫,,,其它
1534,ZF套装/套裙街头潮流时尚气质优雅口袋2018年春季甜美N[3.30],女装,套装,套装,,,套装
1535,ZSJ 2018夏季新款 欧美大码女装 系带显瘦中长款条纹拼接连衣裙女,女装,连衣裙,连衣裙,,,连衣裙
1536,ZXM2018年春季套装/套裙唯美韩版潮流修身显瘦气质街头百搭N[1.26]（Z）,女装,套装,套装,,,其它
1537,ZXM欧洲站2018春季新款女装胖MM时尚大码显瘦套装潮,女装,套装,套装,,,套装
1538,ZXN2018夏季新款低帮鞋女鞋胶粘鞋低跟韩版PU粗跟橡胶纯色套脚浅口N[7.31],女装,鞋,鞋,,,鞋
1539,[三件套子母包]2018新款手提女包油蜡皮单肩斜挎包欧美风潮时尚子母包,女装,包包,斜挎包,,,包包
1540,[送皮带]修身显瘦喇叭裤2019春新款韩版西装长裤【DB】h199,女装,裤子,长裤,,,裤子
1541,[配可拆卸真狐狸毛领】羽绒服中长款2018新款冬季韩版加厚防寒保暖羽绒服,女装,外套,羽绒服,,,外套
1542,[配可拆卸真貉子毛领】羽绒服2018冬装新款时尚气质中长款韩版大毛领羽绒服外套潮【DB】f122,女装,外套,羽绒服,,,外套
1543,[配可拆卸真貉子毛领】羽绒服女中长款2018新款冬季韩版加厚防寒保暖羽绒服,女装,外套,羽绒服,,,外套
1544,[预售需年后发货【9色文胸】新款无钢圈中薄款舒适背心款深V性聚拢上托收副乳调整型女士内衣文胸MMNY-4,女装,日用,文胸,,,日用
1545,《三条装》【独立包装】爆款3D蜂窝暖宫收腹提臀弹力中腰无缝透气女士内裤,女装,日用,内裤,,,日用
1546,《两个装》后脱式三排扣薄款超高腰产后收腹裤美体塑身裤收腹提臀裤束腰内裤,女装,日用,内裤,,,日用
1547,《同款2件装》保暖内衣女加绒长袖秋衣秋裤女圆领塑身美体少女家居服睡衣b101,女装,日用,睡衣,,,日用
1548,【 两件装】超薄收腹带束腰束腹束缚带产妇塑身衣腰封收腰塑腰瘦腰带,女装,日用,腰带,,,日用
1549,【 买一送一】超薄收腹带束腰束腹束缚带产妇塑身衣腰封收腰塑腰瘦腰带,女装,日用,腰带,,,日用
1550,【10双装】2019时尚潮流男女隐形袜透气纯色隐形船袜XNFS-3,女装,日用,船袜,,,日用
1551,【10双装】2019春夏韩版新款蕾丝船袜女士隐形浅口防滑船袜女弹力透气袜防脱袜子,女装,日用,船袜,,,日用
1552,【10双装】春夏款韩版糖果色女士纯色透气网眼袜隐形船袜纯棉短袜,女装,日用,船袜,,,日用
1553,【10色套装】黄金暖甲保暖内衣压花双层加绒男女款,女装,日用,保暖内衣,,,日用
1554,【10骨全自动雨伞】折叠商务伞三折晴雨伞礼品雨伞自动伞YS-4,女装,日用,伞,,,日用
1555,【20双装】天鹅绒短丝袜 女士棉底短丝袜吸汗防滑中筒短袜按摩底袜子,女装,日用,袜子,,,日用
1556,【2个】2018新款强吸水珊瑚绒干发包头巾可爱蝴蝶结干发帽YWDF-3,女装,日用,干发帽,,,日用
1557,【2个装】新款冬季全包口罩护脸护额护耳罩户外骑行二合一保暖面罩,女装,日用,口罩,,,日用
1558,【2个装】豹纹围脖百搭仿兔毛豹纹毛领小领巾飘带保暖围巾女,女装,配饰,围巾,,,配饰
1559,【2个装】韩版秋冬防晒保暖百搭假领围脖多功能套头印花小丝巾护颈椎,女装,配饰,丝巾,,,配饰
1560,【2个装】韩版秋冬防晒保暖百搭假领围脖多功能套头印花小丝巾护颈椎f951,女装,配饰,丝巾,,,配饰
1561,【2双】2018秋冬季新款韩版豆豆鞋加绒女棉鞋保暖休闲平底单鞋短靴女WLDF-6,女装,鞋,豆豆鞋,,,鞋
1562,【2双】加绒护膝冬季保暖男女骑车护膝盖老寒腿发热纯色毛绒YWDF-3  b156,女装,日用,护膝,,,日用
1563,【2双装】2018棉鞋女冬季加绒保暖纯色平跟雪地靴韩版百搭休闲鞋防滑,女装,鞋,休闲鞋,,,鞋
1564,【2双装】2019春季新款时尚百搭芭蕾平底韩版豆豆鞋单鞋鞋瓢鞋WLDF-6,女装,鞋,豆豆鞋,,,鞋
1565,【2双装】冬季新款女士触屏手套户外骑车舒适百搭触屏手套气质保暖手套ZYST-4,女装,日用,手套,,,日用
1566,【2双装】冬季新款触屏女士手套户外运动骑车开车保暖手套时尚舒适不倒绒手套ZYST-4,女装,日用,手套,,,日用
1567,【2双装】半指二指毛线手套男女通用情侣写字工作保暖露指针织手套XFMY-3,女装,日用,手套,,,日用
1568,【2双装】单鞋女2019春季新款欧美风时尚尖头浅口豆豆鞋女百搭鞋瓢鞋平底鞋WLDF-6,女装,鞋,平底鞋,,,鞋
1569,【2双装】韩版短款半指手套冬季女士保暖针织毛口仿兔毛女士冬季手套女YWDF-4,女装,日用,手套,,,日用
1570,【2条装】2019春季棉打底裤高腰莫代尔九分女外穿秋裤大码薄款踩脚长休闲裤,女装,裤子,打底裤,,,裤子
1571,【2条装】三色玫瑰围巾网纱双层保暖围脖时尚新款丝巾披肩XNFS-3,女装,配饰,围巾,,,配饰
1572,【2条装】仿真丝围脖女时尚韩版水兵舞蹈套头巾秋冬假领保暖,女装,配饰,围脖,,,配饰
1573,【2条装】天鹅绒连裤袜裤春秋款美体裤比基尼蝴蝶档加大加档,女装,日用,美体裤,,,日用
1574,【2条装】安全裤防走光女夏冰丝安全裤荷叶边保险裤三分裤外穿,女装,日用,安全裤,,,日用
1575,【2条装】新款假两件加厚褶皱裙裤时尚百搭舒适保暖打底裙裤带裙大摆打底裤裙女HYS-4,女装,裤子,打底裤,,,裤子
1576,【2条装】秋冬咪咪抑暖宫菌高腰咪咪裤产后收腹裤女士三角内裤纯色内裤,女装,日用,内裤,,,日用
1577,【2条装】秋冬季高腰弹力大码修身加绒加厚一体踩脚裤女打底保暖裤,女装,裤子,保暖裤,,,其它
1578,【2条装】纯色仿羊绒围巾女秋冬新款保暖大披肩百搭围脖,女装,配饰,围巾,,,配饰
1579,【2条装】蕾丝高腰隐形无痕收腹裤产后提臀瘦身小蛮腰轻薄透气d107,女装,日用,收腹裤,,,日用
1580,【30双装】新款丝袜女士短筒钢丝面膜短袜子性感丝袜防脱丝短袜超薄春夏季h753,女装,日用,袜子,,,日用
1581,【3双】男女情侣防滑保暖毛绒拖鞋厚底棉拖鞋懒人鞋,女装,日用,拖鞋,,,日用
1582,【3双装】中筒袜肉色加绒光腿神器女冬季短袜露脚踝肤色半腿袜子女,女装,日用,中筒袜,,,日用
1583,【3条】秋冬高腰收腹内裤女棉裆提臀棉质面料束身性感蕾丝三角裤,女装,日用,内裤,,,日用
1584,【3条装】2018产后女士中腰无痕塑身裤提臀美体束腰性感收腹裤,女装,日用,塑身裤,,,日用
1585,【3条装】2018新款迷你弹力打底裤防狼安全裤防走光女夏季薄款,女装,裤子,打底裤,,,日用
1586,【3条装】产后高腰美体塑身收腹束腰暖宫提臀女士收腰内裤h691,女装,日用,内裤,,,日用
1587,【3条装】爆款无缝内裤女提臀收腹莫代尔内裤中腰女士三角内裤,女装,日用,内裤,,,日用
1588,【4条套装】无痕内裤女冰丝一片式中腰大码纯棉裆三角裤夏季学生短裤,女装,日用,内裤,,,日用
1589,【4条盒装 】女士内裤女纯棉高腰全棉质面料产后收腹提臀大码三角裤,女装,日用,内裤,,,日用
1590,【4条精装】2019新款高腰收腹提臀纯棉档塑身产后收胃塑形束腰提臀性感舒适女士裤头YSSA-4,女装,日用,裤头,,,日用
1591,【4条精装】中腰纯棉裆三角裤性感蕾丝棉质面料提臀大码女士内裤YSSA-1,女装,日用,内裤,,,日用
1592,【4条精装】新款3D压花女士内裤性感舒适高腰纯棉收腹暖宫三角内裤YSSA-4,女装,日用,内裤,,,日用
1593,【4条精装】高腰大码内裤女士性感内裤ALZYC-3,女装,日用,内裤,,,日用
1594,【4条装】2018新款良品冰丝内裤一片式无痕内裤女 透气无痕低腰女士三角裤,女装,日用,内裤,,,日用
1595,【4条装】3D蜂巢暖宫内裤无缝日系高腰暖宫内裤收腹裤性感三角裤女士内裤,女装,日用,内裤,,,日用
1596,【4条装】4条装 纯棉女内裤中腰 棉质面料内裤女 大码女三角裤,女装,日用,内裤,,,日用
